% Model,capacitance_and_inductance_2d.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 11 2022, 08:11"
% Table,Table 1 - Global Matrix Evaluation 1
% d,Maxwell to mutual:,Maxwell capacitance (F)
47.5,1.2799789892805885E-13,9.803604545175728E-16
,9.803604545175724E-16,1.2799793417422973E-13
48,1.2801336269897647E-13,9.651620576490232E-16
,9.651620576490226E-16,1.2801434127798168E-13
48.5,1.2803211958439668E-13,9.50366563473449E-16
,9.503665634734484E-16,1.2803240172210737E-13
49,1.2804354820423803E-13,9.356953961497597E-16
,9.35695396149759E-16,1.2804390682753099E-13
49.5,1.2805774071601692E-13,9.215226633230862E-16
,9.21522663323087E-16,1.2805615914571117E-13
50,1.2807543396347198E-13,9.075352371197495E-16
,9.075352371197497E-16,1.2807031877430299E-13
