% Model,capacitance_and_inductance_2d.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 10 2022, 22:37"
% Table,Table 1 - Global Matrix Evaluation 1
% d,Maxwell capacitance (F),
,-5.527972517205648E-16,2.063456998733568E-14
18,2.0634835789812514E-14,-5.370758464150177E-16
,-5.370758464150179E-16,2.063486429881784E-14
18.5,2.0635661143442087E-14,-5.219602734536444E-16
,-5.219602734536443E-16,2.0635219646615523E-14
19,2.0635647178248377E-14,-5.075320616862091E-16
,-5.07532061686209E-16,2.0635717934323485E-14
19.5,2.0635584482057047E-14,-4.937018467496881E-16
,-4.937018467496877E-16,2.063581958696768E-14
20,2.0636076706947274E-14,-4.804545417357369E-16
,-4.804545417357366E-16,2.0636361356112604E-14
20.5,2.0636621088835902E-14,-4.677278842786617E-16
,-4.677278842786617E-16,2.063670678056204E-14
21,2.063692371184324E-14,-4.55535025404446E-16
,-4.555350254044458E-16,2.063693249889532E-14
21.5,2.0636970188025764E-14,-4.438007865049352E-16
,-4.438007865049353E-16,2.0637131047243097E-14
22,2.063730606006018E-14,-4.3251842023794556E-16
,-4.325184202379452E-16,2.0637249519400627E-14
22.5,2.0637856927900106E-14,-4.217074633457853E-16
,-4.217074633457852E-16,2.063779642551451E-14
23,2.0637590336827873E-14,-4.112512020115121E-16
,-4.112512020115125E-16,2.0637672394901835E-14
23.5,2.063821917511912E-14,-4.012588553696063E-16
,-4.012588553696062E-16,2.0638045932206997E-14
24,2.0638213185875923E-14,-3.915632986550954E-16
,-3.915632986550958E-16,2.063850968458051E-14
24.5,2.063832868543653E-14,-3.822713717611846E-16
,-3.8227137176118467E-16,2.0638421989166237E-14
25,2.06388264945776E-14,-3.7326066837512364E-16
,-3.732606683751234E-16,2.0638679826309605E-14
25.5,2.063866481989093E-14,-3.64617169820181E-16
,-3.646171698201812E-16,2.063859777537516E-14
26,2.0639060497968137E-14,-3.5624650946078074E-16
,-3.562465094607807E-16,2.0638887913390405E-14
26.5,2.0639114676191205E-14,-3.481875404687E-16
,-3.4818754046869997E-16,2.063909007438359E-14
27,2.0639246397980924E-14,-3.4037991714138885E-16
,-3.4037991714138895E-16,2.0639622714145452E-14
27.5,2.0639156528850166E-14,-3.3286323957532837E-16
,-3.3286323957532847E-16,2.0639264787655325E-14
28,2.063991250832195E-14,-3.255712179680904E-16
,-3.255712179680906E-16,2.0639429155080915E-14
28.5,2.063962331937714E-14,-3.185255853123098E-16
,-3.1852558531230986E-16,2.063949117293436E-14
29,2.0639716536515934E-14,-3.1170135022882747E-16
,-3.1170135022882737E-16,2.0639529665638813E-14
29.5,2.0639635842928388E-14,-3.051126124255662E-16
,-3.0511261242556606E-16,2.0639628770990718E-14
30,2.0639830058064583E-14,-2.9872028373129275E-16
,-2.9872028373129256E-16,2.0640043681484683E-14
30.5,2.063998156534902E-14,-2.925356359506241E-16
,-2.9253563595062414E-16,2.0639908234000815E-14
31,2.06400086677655E-14,-2.8653740061106817E-16
,-2.8653740061106836E-16,2.0639655715917727E-14
31.5,2.0640088827438486E-14,-2.807253900992306E-16
,-2.8072539009923073E-16,2.064061337655674E-14
32,2.0640314674777647E-14,-2.7508862456822887E-16
,-2.7508862456822916E-16,2.0640318639999186E-14
32.5,2.0640101023554997E-14,-2.6962685701527626E-16
,-2.696268570152764E-16,2.064005412152242E-14
33,2.064017663942939E-14,-2.6432630027146027E-16
,-2.643263002714604E-16,2.0640292722212826E-14
33.5,2.064035183162165E-14,-2.5918199354490567E-16
,-2.591819935449054E-16,2.0640725086201002E-14
34,2.0640780514046207E-14,-2.541775543435476E-16
,-2.5417755434354744E-16,2.0640271319699917E-14
34.5,2.0640879088239214E-14,-2.493411135672179E-16
,-2.493411135672178E-16,2.064087201264522E-14
35,2.064065578792369E-14,-2.446262557234326E-16
,-2.446262557234328E-16,2.0640573569701363E-14
35.5,2.0640472518071615E-14,-2.4003797521323095E-16
,-2.400379752132313E-16,2.0640681229440376E-14
36,2.064051758257097E-14,-2.3558969887597557E-16
,-2.3558969887597557E-16,2.064067293709196E-14
36.5,2.064069685723855E-14,-2.3126845130987897E-16
,-2.312684513098785E-16,2.0640618595226063E-14
37,2.064078846493226E-14,-2.2706148376378985E-16
,-2.270614837637898E-16,2.064033951630421E-14
37.5,2.0640673385050767E-14,-2.2295007807370796E-16
,-2.229500780737079E-16,2.0640483182760154E-14
38,2.0640829891687968E-14,-2.1897182096540574E-16
,-2.1897182096540584E-16,2.064073091622045E-14
38.5,2.0640730219362527E-14,-2.1509000049795049E-16
,-2.1509000049795034E-16,2.0640674791462205E-14
39,2.0640820822131043E-14,-2.1132419048151403E-16
,-2.11324190481514E-16,2.0641079755022224E-14
39.5,2.0641130708701334E-14,-2.076314662655933E-16
,-2.0763146626559368E-16,2.0640683604762323E-14
40,2.0640953936166543E-14,-2.0406152165712882E-16
,-2.040615216571292E-16,2.0640800692109096E-14
40.5,2.0641128708204942E-14,-2.0056928251761302E-16
,-2.005692825176132E-16,2.064099584497865E-14
41,2.064103435822236E-14,-1.9716006174668245E-16
,-1.9716006174668245E-16,2.0640987215322143E-14
41.5,2.0641615701809878E-14,-1.9386927161197883E-16
,-1.93869271611979E-16,2.064098317898116E-14
42,2.0640801308489275E-14,-1.906278912277256E-16
,-1.9062789122772537E-16,2.064105423568874E-14
42.5,2.064102828972263E-14,-1.8747197062491422E-16
,-1.8747197062491412E-16,2.0641053776606E-14
43,2.064107265891717E-14,-1.8439596555956437E-16
,-1.8439596555956432E-16,2.0641296062139262E-14
43.5,2.0641272841451238E-14,-1.8139884651584303E-16
,-1.8139884651584308E-16,2.0641150720437163E-14
44,2.0641056202809784E-14,-1.7847881427779982E-16
,-1.7847881427780012E-16,2.064107918650251E-14
44.5,2.0641173521513478E-14,-1.756178532482636E-16
,-1.756178532482634E-16,2.0641509838627474E-14
45,2.0641552360541634E-14,-1.7283253065180875E-16
,-1.7283253065180902E-16,2.0640939860189916E-14
45.5,2.0641294193491498E-14,-1.7011060204722195E-16
,-1.7011060204722198E-16,2.0641154749412633E-14
46,2.0641127370294512E-14,-1.6745530932317598E-16
,-1.67455309323176E-16,2.0641089000342912E-14
46.5,2.0641113760670275E-14,-1.6485634095857195E-16
,-1.64856340958572E-16,2.064112096974626E-14
47,2.0641095868415817E-14,-1.623288649081501E-16
,-1.6232886490815016E-16,2.0641276143635883E-14
47.5,2.0641120082635674E-14,-1.5984016212410782E-16
,-1.5984016212410782E-16,2.0641108676349174E-14
48,2.064128959688602E-14,-1.574162917465577E-16
,-1.5741629174655775E-16,2.0641147287983584E-14
48.5,2.0641445103207312E-14,-1.5505802291357853E-16
,-1.5505802291357829E-16,2.064173183520616E-14
49,2.0641199862712E-14,-1.5273628890859802E-16
,-1.5273628890859821E-16,2.064118035481644E-14
49.5,2.0641622149768413E-14,-1.5047808332562614E-16
,-1.5047808332562607E-16,2.064137408306671E-14
50,2.0641491394287373E-14,-1.4825899606439168E-16
,-1.4825899606439165E-16,2.064137846615847E-14
